symbole;date;ouverture;haut;bas;cloture;volume
PALC.ci;01/04/2025;6400;6400;6350;6350;1298
PALC.ci;01/05/2025;6300;6300;6300;6300;7136
PALC.ci;01/07/2024;6195;6215;6195;6215;2275
PALC.ci;01/07/2025;8500;8500;8150;8150;30292
PALC.ci;01/08/2024;5580;5580;5540;5540;1158
PALC.ci;01/10/2024;4765;4770;4765;4770;4023
PALC.ci;01/11/2024;4690;4695;4690;4695;705
PALC.ci;02/04/2025;6300;6300;6085;6085;14825
PALC.ci;02/05/2025;6300;6340;6300;6340;8814
PALC.ci;02/06/2025;6995;6995;6800;6800;5067
PALC.ci;02/07/2024;6100;6245;6100;6245;479
PALC.ci;02/07/2025;8200;8350;8200;8350;8147
PALC.ci;02/08/2024;5590;5590;5440;5440;2015
PALC.ci;02/09/2024;4805;5000;4805;5000;2147
PALC.ci;02/10/2024;4775;4780;4775;4780;645
PALC.ci;02/12/2024;4690;4690;4525;4525;14910
PALC.ci;03/02/2025;4650;4850;4650;4850;966
PALC.ci;03/03/2025;6080;6200;6080;6200;3127
PALC.ci;03/04/2025;6090;6170;6090;6170;6435
PALC.ci;03/06/2025;6700;6800;6700;6800;11011
PALC.ci;03/07/2024;6245;6245;6220;6220;4500
PALC.ci;03/07/2025;8300;8300;8290;8290;3345
PALC.ci;03/09/2024;5000;5000;4880;4880;8215
PALC.ci;03/10/2024;4880;4880;4780;4780;3641
PALC.ci;03/12/2024;4530;4530;4525;4525;4199
PALC.ci;04/02/2025;4845;4940;4845;4940;2151
PALC.ci;04/03/2025;6140;6200;6140;6200;1848
PALC.ci;04/04/2025;6100;6100;6100;6100;1226
PALC.ci;04/06/2025;6500;6740;6500;6740;11291
PALC.ci;04/07/2024;6220;6220;6220;6220;971
PALC.ci;04/07/2025;8325;8400;8325;8400;6530
PALC.ci;04/09/2024;4895;4895;4890;4890;8186
PALC.ci;04/10/2024;4780;4780;4700;4700;2599
PALC.ci;04/11/2024;4695;4695;4650;4650;6382
PALC.ci;04/12/2024;4525;4695;4525;4695;691
PALC.ci;05/02/2025;4950;5000;4950;5000;900
