symbole;date;ouverture;haut;bas;cloture;volume
ECOC.ci;01/04/2025;9900;9900;9860;9860;1840
ECOC.ci;01/05/2025;9850;9850;9800;9800;279
ECOC.ci;01/07/2024;7000;7000;6990;6990;2105
ECOC.ci;01/07/2025;11845;11845;11840;11840;3123
ECOC.ci;01/08/2024;7415;7415;7410;7410;615
ECOC.ci;01/10/2024;8800;8800;8795;8795;625
ECOC.ci;01/11/2024;8595;8595;8550;8550;199
ECOC.ci;02/04/2025;9860;9900;9860;9900;323
ECOC.ci;02/05/2025;9820;9850;9820;9850;955
ECOC.ci;02/06/2025;11200;11200;11000;11000;1402
ECOC.ci;02/07/2024;6990;7000;6990;7000;620
ECOC.ci;02/07/2025;11835;11835;11500;11500;895
ECOC.ci;02/08/2024;7415;7415;7410;7410;547
ECOC.ci;02/09/2024;7500;7555;7500;7555;658
ECOC.ci;02/10/2024;8785;8785;8700;8700;706
ECOC.ci;02/12/2024;8590;8590;8500;8500;615
ECOC.ci;03/02/2025;8050;8400;8050;8400;1064
ECOC.ci;03/03/2025;8885;8885;8885;8885;284
ECOC.ci;03/04/2025;9895;9895;9860;9860;414
ECOC.ci;03/06/2025;10175;10185;10175;10185;3273
ECOC.ci;03/07/2024;6990;6995;6990;6995;672
ECOC.ci;03/07/2025;11500;11500;11500;11500;317
ECOC.ci;03/09/2024;7550;7680;7550;7680;1768
ECOC.ci;03/10/2024;8700;8700;8685;8685;1176
ECOC.ci;03/12/2024;8320;8590;8320;8590;8909
ECOC.ci;04/02/2025;8200;8730;8200;8730;644
ECOC.ci;04/03/2025;8880;8885;8880;8885;548
ECOC.ci;04/04/2025;9860;9860;9860;9860;3258
ECOC.ci;04/06/2025;10185;10185;10175;10175;969
ECOC.ci;04/07/2024;6995;6995;6995;6995;419
ECOC.ci;04/07/2025;11500;11875;11500;11875;861
ECOC.ci;04/09/2024;7685;7700;7685;7700;2931
ECOC.ci;04/10/2024;8615;8685;8615;8685;773
ECOC.ci;04/11/2024;8550;8550;8500;8500;598
ECOC.ci;04/12/2024;8590;8590;8590;8590;178
ECOC.ci;05/02/2025;8400;8400;8400;8400;432
ECOC.ci;05/03/2025;8800;8885;8800;8885;273
ECOC.ci;05/05/2025;9900;9900;9895;9895;491
ECOC.ci;05/06/2025;10170;10200;10170;10200;1555
ECOC.ci;05/07/2024;6995;6995;6990;6990;314
ECOC.ci;05/08/2024;7410;7550;7410;7550;230
ECOC.ci;05/09/2024;7680;8275;7680;8275;6407
ECOC.ci;05/11/2024;8500;8545;8500;8545;479
ECOC.ci;05/12/2024;8590;8595;8590;8595;340
ECOC.ci;06/02/2025;8300;8300;8300;8300;833
ECOC.ci;06/03/2025;8885;8885;8850;8850;913
ECOC.ci;06/05/2025;9900;9900;9900;9900;837
ECOC.ci;06/08/2024;7595;7595;7575;7575;1811
ECOC.ci;06/09/2024;8250;8250;8245;8245;18077
ECOC.ci;06/11/2024;8545;8590;8545;8590;1309
ECOC.ci;06/12/2024;8595;8925;8595;8925;802
ECOC.ci;07/02/2025;8250;8400;8250;8400;772
ECOC.ci;07/03/2025;8850;8875;8850;8875;283
ECOC.ci;07/04/2025;9860;9895;9860;9895;2108
ECOC.ci;07/05/2025;9895;9900;9895;9900;600
ECOC.ci;07/07/2025;11020;11800;11020;11800;1020
ECOC.ci;07/08/2024;7595;7595;7575;7575;1811
ECOC.ci;07/10/2024;8685;8685;8645;8645;747
ECOC.ci;07/11/2024;8575;8575;8480;8480;350819
ECOC.ci;08/04/2025;9875;9900;9875;9900;1095
ECOC.ci;08/05/2025;9900;9900;9900;9900;888
ECOC.ci;08/07/2024;6830;6900;6830;6900;2990
ECOC.ci;08/07/2025;11060;11200;11060;11200;255
ECOC.ci;08/08/2024;7575;7575;7540;7540;1720
ECOC.ci;08/10/2024;8640;8640;8615;8615;1539
ECOC.ci;08/11/2024;8480;8480;8480;8480;600
ECOC.ci;09/04/2025;9850;9900;9850;9900;400
ECOC.ci;09/05/2025;9900;9900;9900;9900;469
ECOC.ci;09/07/2024;6900;6900;6900;6900;3797
ECOC.ci;09/07/2025;11200;11290;11200;11290;312
ECOC.ci;09/08/2024;7540;7540;7540;7540;2188
ECOC.ci;09/09/2024;8240;8240;8000;8000;174
ECOC.ci;09/10/2024;8510;8595;8510;8595;403
ECOC.ci;09/12/2024;8925;8925;8925;8925;307
ECOC.ci;10/02/2025;8400;8400;8390;8390;315
ECOC.ci;10/03/2025;8875;8880;8875;8880;119
ECOC.ci;10/04/2025;9900;9900;9900;9900;213
ECOC.ci;10/06/2025;10200;10400;10200;10400;1134
ECOC.ci;10/07/2024;6600;6900;6600;6900;3691
ECOC.ci;10/07/2025;11060;11895;11060;11895;1171
ECOC.ci;10/09/2024;8200;8200;8100;8100;2019
ECOC.ci;10/10/2024;8600;8600;8600;8600;723
ECOC.ci;10/12/2024;8800;8800;8690;8690;73
ECOC.ci;11/02/2025;8390;8390;8375;8375;211
ECOC.ci;11/03/2025;8880;8880;8800;8800;425
ECOC.ci;11/04/2025;9900;9900;9900;9900;594
ECOC.ci;11/06/2025;9900;11150;9900;11150;1708
ECOC.ci;11/07/2024;6900;6900;6900;6900;3176
ECOC.ci;11/07/2025;11890;11890;11890;11890;463
ECOC.ci;11/09/2024;8100;8100;8000;8000;3029
ECOC.ci;11/10/2024;8600;8600;8600;8600;389
ECOC.ci;11/11/2024;8480;8480;8380;8380;1823
ECOC.ci;11/12/2024;8775;8800;8775;8800;4314
ECOC.ci;12/02/2025;8375;8400;8375;8400;807
ECOC.ci;12/03/2025;8800;8800;8800;8800;1709
ECOC.ci;12/05/2025;9850;9900;9850;9900;614
ECOC.ci;12/06/2025;10315;11000;10315;11000;616
ECOC.ci;12/07/2024;6900;6900;6860;6860;2244
ECOC.ci;12/08/2024;7540;7540;7540;7540;1099
ECOC.ci;12/09/2024;8000;8025;8000;8025;879
ECOC.ci;12/11/2024;8380;8380;8380;8380;647
ECOC.ci;12/12/2024;8700;8800;8700;8800;1746
ECOC.ci;13/02/2025;8400;8400;8310;8310;982
ECOC.ci;13/03/2025;8800;8885;8800;8885;3759
ECOC.ci;13/05/2025;9905;9905;9905;9905;187
ECOC.ci;13/06/2025;10875;11000;10875;11000;609
ECOC.ci;13/08/2024;7540;7700;7540;7700;597
ECOC.ci;13/09/2024;8025;8240;8025;8240;578
ECOC.ci;13/11/2024;8400;8500;8400;8500;699
ECOC.ci;13/12/2024;8800;8900;8800;8900;249
ECOC.ci;14/02/2025;8310;8400;8310;8400;870
ECOC.ci;14/03/2025;8880;8880;8850;8850;992
ECOC.ci;14/04/2025;9900;9925;9900;9925;1327
ECOC.ci;14/05/2025;10010;10500;10010;10500;815
ECOC.ci;14/07/2025;11820;11820;11800;11800;939
ECOC.ci;14/08/2024;7650;7650;7550;7550;505
ECOC.ci;14/10/2024;8600;8600;8500;8500;316
ECOC.ci;14/11/2024;8500;8500;8300;8300;6404
ECOC.ci;15/04/2025;9925;9925;9925;9925;759
ECOC.ci;15/05/2025;10450;11060;10450;11060;862
ECOC.ci;15/07/2024;6800;6900;6800;6900;579
ECOC.ci;15/08/2024;7650;7650;7550;7550;505
ECOC.ci;15/10/2024;8500;8500;8400;8400;459
ECOC.ci;15/11/2024;8500;8500;8300;8300;6404
ECOC.ci;16/04/2025;9925;9925;9920;9920;1690
ECOC.ci;16/05/2025;11060;11060;11060;11060;513
ECOC.ci;16/06/2025;10880;10885;10880;10885;8104
ECOC.ci;16/07/2024;6850;6905;6850;6905;3398
ECOC.ci;16/08/2024;7650;7650;7580;7580;3094
ECOC.ci;16/09/2024;8240;8305;8240;8305;790
ECOC.ci;16/10/2024;8355;8500;8355;8500;1152
ECOC.ci;16/12/2024;8900;8900;8900;8900;699
ECOC.ci;17/02/2025;8800;8800;8800;8800;2235
ECOC.ci;17/03/2025;8850;8985;8850;8985;558
ECOC.ci;17/04/2025;9920;9920;9915;9915;53
ECOC.ci;17/06/2025;10880;10900;10880;10900;1306
ECOC.ci;17/07/2024;6900;6910;6900;6910;1780
